#LST
213	proj.img
799	start.hed	517.25,  -2.029521,-10.762,1.884,1
967	start.hed	508.15,  1.533625,10.066,5.971,0
1873	start.hed	504.66,  -0.096166,-0.822,2.075,1
1888	start.hed	515.42,  1.115431,4.332,6.480,0
2613	start.hed	548.80,  1.372525,3.929,13.876,0
2642	start.hed	508.53,  2.917552,-10.313,-6.271,1
3121	start.hed	504.98,  -1.261670,-8.803,4.111,1
3429	start.hed	505.92,  -2.469493,1.031,0.496,0
4119	start.hed	508.17,  -0.066180,3.422,3.459,1
4128	start.hed	511.74,  1.458818,1.001,4.313,0
4553	start.hed	507.03,  1.677982,4.661,2.596,0
5849	start.hed	509.99,  -0.712585,-1.177,5.304,1
6035	start.hed	507.61,  -0.211330,-2.883,6.741,0
6092	start.hed	507.31,  2.074240,3.539,-3.594,1
6338	start.hed	512.03,  -2.148090,-1.499,-4.404,0
7003	start.hed	510.25,  2.249229,2.931,1.065,0
7020	start.hed	514.66,  -0.269272,-2.851,2.793,0
8645	start.hed	503.17,  -1.887477,-4.964,12.908,1
9081	start.hed	509.65,  2.437553,9.915,-2.136,0
9592	start.hed	505.69,  -1.191988,-7.280,1.067,0
9800	start.hed	509.07,  -0.337218,1.606,-6.386,1
11025	start.hed	504.86,  0.950555,3.036,9.631,0
11457	start.hed	514.84,  0.497181,4.732,1.754,1
11779	start.hed	506.45,  -2.107428,6.636,11.855,1
11923	start.hed	508.02,  0.836700,5.745,-2.580,1
13699	start.hed	513.20,  2.252519,3.282,-4.336,1
14479	start.hed	513.35,  -0.535668,-0.387,7.465,1
14750	start.hed	514.26,  0.317911,1.920,3.926,1
