#LST
366	proj.img
41	start.hed	508.11,  -1.149896,-5.875,2.213,0
1054	start.hed	505.25,  -0.899619,-3.790,9.595,1
1629	start.hed	506.95,  0.324076,-3.438,13.596,0
3699	start.hed	509.25,  1.532336,-5.962,-7.429,0
4236	start.hed	506.72,  2.929822,4.636,-9.248,1
4398	start.hed	511.91,  2.271251,8.203,-1.888,0
5083	start.hed	504.30,  -1.912874,-3.019,1.524,1
5521	start.hed	506.80,  2.171019,4.290,-5.446,1
5407	start.hed	500.08,  1.159987,-7.517,12.533,0
6245	start.hed	506.81,  -2.331373,-5.945,-8.471,0
6321	start.hed	507.26,  -0.389418,1.210,7.268,1
6595	start.hed	506.96,  -1.796165,-5.061,1.427,1
6966	start.hed	506.34,  1.943834,9.215,-10.275,1
7548	start.hed	507.05,  0.272995,5.544,7.452,1
8275	start.hed	508.26,  -0.432972,-3.772,4.512,0
8707	start.hed	506.40,  2.977448,1.628,-10.480,1
9083	start.hed	506.56,  -3.184741,0.979,-6.201,1
10363	start.hed	502.16,  2.672052,-1.190,-0.633,0
10415	start.hed	502.82,  -3.046874,3.422,-10.641,0
11534	start.hed	506.60,  -2.185907,-4.522,11.135,0
11646	start.hed	505.24,  -2.185397,-4.608,11.096,0
11972	start.hed	500.22,  1.694222,9.130,-1.012,0
12111	start.hed	503.49,  -2.857460,3.193,-6.588,0
12238	start.hed	503.49,  -2.857460,3.193,-6.588,0
12281	start.hed	518.51,  -0.937277,-2.605,6.070,1
12811	start.hed	508.49,  1.731210,6.386,-2.441,1
14269	start.hed	503.85,  2.443888,3.196,-4.484,0
